ligand,auroc,aupr,activity,pearson,cell_type
FGF18,0.625120928732668,0.0818619017489826,0.0154762326235875,0.00643184845836313,fibroblast
CD38,0.618922211473003,0.081838877305788,0.0154532081803929,0.0232863133663612,fibroblast
CD14,0.626464581317855,0.0818375631342213,0.0154518940088261,0.0114804433450577,fibroblast
WNT5A,0.622415708194489,0.0818140705666611,0.0154284014412659,-0.00857293327748382,fibroblast
CX3CL1,0.624010175928913,0.0818057418052518,0.0154200726798567,-0.0109707599175807,fibroblast
SAA1,0.613762585545882,0.0815901062233733,0.0152044370979781,0.0247025353140651,fibroblast
CXCL14,0.619674656920706,0.0815729614523424,0.0151872923269472,0.0407126033921703,fibroblast
TPSAB1,0.616270737038232,0.0815612553209813,0.0151755861955861,0.0538312761750346,fibroblast
COL18A1,0.616145329463614,0.0814650956021209,0.0150794264767257,0.0367340966251265,fibroblast
GC,0.615733276004156,0.0814004927304042,0.0150148236050091,0.059652281245096,fibroblast
CRP,0.623938514457702,0.0813473667993726,0.0149616976739774,-0.0239993501655959,fibroblast
LIF,0.607563868286215,0.0811875712861041,0.0148019021607089,0.0270477102596847,fibroblast
CCL5,0.620570425310834,0.0811478560380258,0.0147621869126307,-0.0146294530497615,fibroblast
IL1RN,0.611254434053531,0.0810937924647326,0.0147081233393374,0.0182931894991954,fibroblast
SLPI,0.61591242968218,0.081049778336952,0.0146641092115569,0.0391438650834215,fibroblast
