gene,sample_id,coef,se,n_cells,pval,dispersion
APOB,Lung5,0.000212393255283627,0.000469189245859047,37735,0.650778158621636,0.232685142912577
APOB,Lung6,0.00734707514495915,0.00266775945741446,3252,0.00588673451227728,0.126585757306998
APOB,Lung9,-0.000519895056859338,0.000878233044250543,21893,0.553865003412109,0.153377967250934
APOB,Lung12,-0.000984422250553603,0.000530224034722894,16548,0.0633658531735145,0.393932710817893
APOB,Lung13,-0.00144705233635848,0.000961180131712547,13609,0.1321967400405,0.181269400049143
APOD,Lung5,0.000846218307361232,0.000246502491633479,37735,0.000597163162716648,0.634793613529893
APOD,Lung6,0.000305604815141232,0.0015142897267186,3252,0.840062163053728,0.291318819195352
APOD,Lung9,-0.00180227132489328,0.000468619297052431,21893,0.000120101994417124,0.392199414067717
APOD,Lung12,0.00044863815391388,0.000444339459220829,16548,0.312651336143989,0.500653958025028
APOD,Lung13,-0.00151896395945499,0.000573273375755881,13609,0.0080579288759301,0.385977583313772
APP,Lung5,-0.00172953329457485,0.000123000168398282,37735,6.57364424995692e-45,1.00281579185161
APP,Lung6,-0.00127266983652782,0.000618458612689468,3252,0.0396084504842512,0.775347121118439
APP,Lung9,-0.000881943003911987,0.00028072816661253,21893,0.00168012301765918,0.637927301360508
APP,Lung12,-0.00105237007757769,0.000260655928158178,16548,5.40487855491709e-05,0.84167884108653
APP,Lung13,0.000815690395708682,0.000295765788379844,13609,0.00581752379104541,0.791124584333221
AQP3,Lung5,-0.000420550794087132,0.000336539437055173,37735,0.211433634108137,0.352070801298492
AQP3,Lung6,0.00272950461757601,0.00203544112065685,3252,0.179923949931824,0.178702200738295
AQP3,Lung9,0.00182700180036,0.000685753588318465,21893,0.00771659483385963,0.21044841931561
AQP3,Lung12,-0.000291373418603696,0.000494382114570777,16548,0.555613867516493,0.423235581572668
AQP3,Lung13,-0.000880109355508478,0.000770776530928427,13609,0.253517359992594,0.245645093563788
AR,Lung5,-0.00104646532695764,0.000368947784040854,37735,0.00456322996909656,0.31020646717252
AR,Lung6,-0.00309494572337138,0.00209049503212927,3252,0.138743964743453,0.193911657812212
AR,Lung9,-0.00116998413838705,0.000661975062374164,21893,0.0771588832418904,0.232822250040847
AR,Lung12,0.000602457860209544,0.000475215259752208,16548,0.20488445058752,0.463037960333006
AR,Lung13,0.000284882464719591,0.000859194358222276,13609,0.740214510713082,0.219611530116059
AREG,Lung5,0.000993920404737547,0.000395479785042425,37735,0.0119640964315462,0.314537160534313
AREG,Lung6,-0.00203845211999647,0.00227986707251739,3252,0.371262999080219,0.169026070920256
AREG,Lung9,-0.00265512471020687,0.000689638217482382,21893,0.000118105536988181,0.221165406137214
AREG,Lung12,-0.00186228857242191,0.00039380465728059,16548,2.25666907404296e-06,0.568652533375508
AREG,Lung13,-0.00991067467691998,0.000647743756383163,13609,7.61034256010403e-53,0.331509389566387
ARF1,Lung5,-0.000370866093860419,0.000145244122338493,37735,0.0106677429792663,0.90029631704858
ARF1,Lung6,-0.00104281985041665,0.000788608543445774,3252,0.18605021934036,0.624926907882539
ARF1,Lung9,-0.0019868682341982,0.000337032594870291,21893,3.74270327437166e-09,0.518711958414826
ARF1,Lung12,-0.000653047564456732,0.000292795280878177,16548,0.025721585996353,0.748496165536866
ARF1,Lung13,-0.00205359170380868,0.000317405403236648,13609,9.80463588633428e-11,0.711659239422343
ARHGDIB,Lung5,0.000803920658980199,0.000238056576249128,37735,0.000732770201967017,0.600189081073158
ARHGDIB,Lung6,0.00183092624006148,0.00100072198928501,3252,0.0673089829426292,0.473521615126613
ARHGDIB,Lung9,0.00302584308447382,0.000684803759120743,21893,9.9362988724379e-06,0.209646421473228
ARHGDIB,Lung12,0.000410027897702459,0.0004611601328133,16548,0.373937192523166,0.4702855549472
ARHGDIB,Lung13,0.00191278427219316,0.000464822430635482,13609,3.87035100686017e-05,0.499027508949657
ARTN,Lung5,0.00161127638543672,0.000387842914943196,37735,3.26062128895838e-05,0.326109516317741
